MODULE_TAG,TABLE_NAME,COLUMN_NAME,DATA_TYPE
FND,FND_ACTIVITY_LOG,ACTIVITY_ID,NUMBER
FND,FND_ACTIVITY_LOG,ACTIVITY_NAME,VARCHAR2
FND,FND_ACTIVITY_LOG,ACTIVITY_TYPE,VARCHAR2
FND,FND_ACTIVITY_LOG,CREATION_DATE,TIMESTAMP(6)
FND,FND_ACTIVITY_LOG,CREATED_BY,VARCHAR2
FND,FND_ACTIVITY_LOG,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_ACTIVITY_LOG,LAST_UPDATED_BY,VARCHAR2
FND,FND_ACTIVITY_LOG,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_ACTIVITY_LOG_PARAMS,ACTIVITY_ID,NUMBER
FND,FND_ACTIVITY_LOG_PARAMS,ACTIVITY_PARAM_NAME,VARCHAR2
FND,FND_ACTIVITY_LOG_PARAMS,ACTIVITY_PARAM_VALUE,VARCHAR2
FND,FND_ACTIVITY_LOG_PARAMS,CREATION_DATE,TIMESTAMP(6)
FND,FND_ACTIVITY_LOG_PARAMS,CREATED_BY,VARCHAR2
FND,FND_ACTIVITY_LOG_PARAMS,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_ACTIVITY_LOG_PARAMS,LAST_UPDATED_BY,VARCHAR2
FND,FND_ACTIVITY_LOG_PARAMS,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APM_BRANCHES,ID,NUMBER
FND,FND_APM_BRANCHES,NAME,VARCHAR2
FND,FND_APM_BRANCHES,PARENT,NUMBER
FND,FND_APM_BRANCHES,DEPLOYMENT_TIP,VARCHAR2
FND,FND_APM_BRANCHES,DEPLOYMENT_BASE,VARCHAR2
FND,FND_APM_BRANCHES,DEPLOY_FLAGS,VARCHAR2
FND,FND_APM_BRANCHES,DEPLOY_META,VARCHAR2
FND,FND_APM_BRANCHES,DEPLOY_RESULTS,VARCHAR2
FND,FND_APM_BRANCHES,DEPLOY_BLOB,BLOB
FND,FND_APM_BRANCHES,CREATED_BY,VARCHAR2
FND,FND_APM_BRANCHES,CREATION_DATE,TIMESTAMP(6)
FND,FND_APM_BRANCHES,LAST_UPDATED_BY,VARCHAR2
FND,FND_APM_BRANCHES,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APM_BRANCHES,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APM_BUILD,BUILD_ID,NUMBER
FND,FND_APM_BUILD,STATUS,VARCHAR2
FND,FND_APM_BUILD,FILEHASH,VARCHAR2
FND,FND_APM_BUILD,OUTPUT_REPO,VARCHAR2
FND,FND_APM_BUILD,INCREMENTAL_BUILD_FLAG,VARCHAR2
FND,FND_APM_BUILD,PRESERVE_SOURCES_FLAG,VARCHAR2
FND,FND_APM_BUILD,ATTRIB1,VARCHAR2
FND,FND_APM_BUILD,ATTRIB2,VARCHAR2
FND,FND_APM_BUILD,ATTRIB3,VARCHAR2
FND,FND_APM_BUILD,ATTRIB4,VARCHAR2
FND,FND_APM_BUILD,ATTRIB5,VARCHAR2
FND,FND_APM_BUILD,ATTRIB6,VARCHAR2
FND,FND_APM_BUILD,ATTRIB7,VARCHAR2
FND,FND_APM_BUILD,ATTRIB8,VARCHAR2
FND,FND_APM_BUILD,ATTRIB9,VARCHAR2
FND,FND_APM_BUILD,CREATED_BY,VARCHAR2
FND,FND_APM_BUILD,CREATION_DATE,TIMESTAMP(6)
FND,FND_APM_BUILD,LAST_UPDATED_BY,VARCHAR2
FND,FND_APM_BUILD,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APM_BUILD,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,DEP_REPOS_ID,NUMBER
FND,FND_APM_BUILD_DEP_REPOS,BUILD_ID,NUMBER
FND,FND_APM_BUILD_DEP_REPOS,DEPENDENCY_REPO,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB1,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB2,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB3,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB4,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB5,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB6,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB7,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB8,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,ATTRIB9,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,CREATED_BY,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,CREATION_DATE,TIMESTAMP(6)
FND,FND_APM_BUILD_DEP_REPOS,LAST_UPDATED_BY,VARCHAR2
FND,FND_APM_BUILD_DEP_REPOS,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APM_BUILD_DEP_REPOS,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APM_META,OBJECT_KEY,VARCHAR2
FND,FND_APM_META,OBJECT_VALUE,BLOB
FND,FND_APM_META,ETAG,VARCHAR2
FND,FND_APM_META,BRANCH_ID,NUMBER
FND,FND_APM_META,DEPLOY_FLAGS,VARCHAR2
FND,FND_APM_META,DEPLOY_META,VARCHAR2
FND,FND_APM_META,DEPLOY_RESULTS,VARCHAR2
FND,FND_APM_META,CREATED_BY,VARCHAR2
FND,FND_APM_META,CREATION_DATE,TIMESTAMP(6)
FND,FND_APM_META,LAST_UPDATED_BY,VARCHAR2
FND,FND_APM_META,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APM_META,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APM_OBJECTS,OBJECT_KEY,VARCHAR2
FND,FND_APM_OBJECTS,OBJECT_VALUE,BLOB
FND,FND_APM_OBJECTS,ETAG,VARCHAR2
FND,FND_APM_OBJECTS,BRANCH_ID,NUMBER
FND,FND_APM_OBJECTS,DEPLOY_FLAGS,VARCHAR2
FND,FND_APM_OBJECTS,DEPLOY_META,VARCHAR2
FND,FND_APM_OBJECTS,DEPLOY_RESULTS,VARCHAR2
FND,FND_APM_OBJECTS,CREATED_BY,VARCHAR2
FND,FND_APM_OBJECTS,CREATION_DATE,TIMESTAMP(6)
FND,FND_APM_OBJECTS,LAST_UPDATED_BY,VARCHAR2
FND,FND_APM_OBJECTS,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APM_OBJECTS,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPLCP_TEST,ID1,NUMBER
FND,FND_APPLCP_TEST,ID2,NUMBER
FND,FND_APPLCP_TEST,ID3,NUMBER
FND,FND_APPLCP_TEST,FUNC,VARCHAR2
FND,FND_APPLCP_TEST,TIME,DATE
FND,FND_APPLCP_TEST,ACTION,VARCHAR2
FND,FND_APPLCP_TEST,MESG,VARCHAR2
FND,FND_APPLICATION,APPLICATION_ID,NUMBER
FND,FND_APPLICATION,APPLICATION_SHORT_NAME,VARCHAR2
FND,FND_APPLICATION,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPLICATION,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPLICATION,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPLICATION,CREATED_BY,VARCHAR2
FND,FND_APPLICATION,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPLICATION,BASEPATH,VARCHAR2
FND,FND_APPLICATION,PRODUCT_CODE,VARCHAR2
FND,FND_APPLICATION,MODULE_ID,VARCHAR2
FND,FND_APPLICATION_NEW_VL,ROW_ID,ROWID
FND,FND_APPLICATION_NEW_VL,APPLICATION_ID,NUMBER
FND,FND_APPLICATION_NEW_VL,APPLICATION_SHORT_NAME,VARCHAR2
FND,FND_APPLICATION_NEW_VL,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_NEW_VL,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPLICATION_NEW_VL,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_NEW_VL,CREATED_BY,VARCHAR2
FND,FND_APPLICATION_NEW_VL,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPLICATION_NEW_VL,BASEPATH,VARCHAR2
FND,FND_APPLICATION_NEW_VL,APPLICATION_NAME,VARCHAR2
FND,FND_APPLICATION_NEW_VL,DESCRIPTION,VARCHAR2
FND,FND_APPLICATION_NEW_VL,PRODUCT_CODE,VARCHAR2
FND,FND_APPLICATION_TL,APPLICATION_ID,NUMBER
FND,FND_APPLICATION_TL,LANGUAGE,VARCHAR2
FND,FND_APPLICATION_TL,APPLICATION_NAME,VARCHAR2
FND,FND_APPLICATION_TL,CREATED_BY,VARCHAR2
FND,FND_APPLICATION_TL,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_TL,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPLICATION_TL,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_TL,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPLICATION_TL,DESCRIPTION,VARCHAR2
FND,FND_APPLICATION_TL,SOURCE_LANG,VARCHAR2
FND,FND_APPLICATION_TL,MODULE_ID,VARCHAR2
FND,FND_APPLICATION_VL,ROW_ID,ROWID
FND,FND_APPLICATION_VL,APPLICATION_ID,NUMBER
FND,FND_APPLICATION_VL,APPLICATION_SHORT_NAME,VARCHAR2
FND,FND_APPLICATION_VL,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_VL,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPLICATION_VL,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPLICATION_VL,CREATED_BY,VARCHAR2
FND,FND_APPLICATION_VL,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPLICATION_VL,BASEPATH,VARCHAR2
FND,FND_APPLICATION_VL,APPLICATION_NAME,VARCHAR2
FND,FND_APPLICATION_VL,DESCRIPTION,VARCHAR2
FND,FND_APPLICATION_VL,PRODUCT_CODE,VARCHAR2
FND,FND_APPLICATION_VL,MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY,MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY,PRODUCT_LINE,NUMBER
FND,FND_APPL_TAXONOMY,MODULE_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY,MODULE_TYPE,VARCHAR2
FND,FND_APPL_TAXONOMY,MODULE_KEY,VARCHAR2
FND,FND_APPL_TAXONOMY,PRODUCT_CODE,VARCHAR2
FND,FND_APPL_TAXONOMY,ALTERNATIVE_ID,NUMBER
FND,FND_APPL_TAXONOMY,USAGE_TYPE,VARCHAR2
FND,FND_APPL_TAXONOMY,IS_SEED_DATA_ALLOWED,VARCHAR2
FND,FND_APPL_TAXONOMY,PILLAR_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY,WEBAPP_SHORT_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY,START_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY,END_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY,SEED_DATA_SOURCE,VARCHAR2
FND,FND_APPL_TAXONOMY,IS_VALID,VARCHAR2
FND,FND_APPL_TAXONOMY,ORA_SEED_SET1,VARCHAR2
FND,FND_APPL_TAXONOMY,ORA_SEED_SET2,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,APP_SHORT_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,SEED_DATA_SOURCE,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,ORA_SEED_SET1,VARCHAR2
FND,FND_APPL_TAXONOMY_ENT_APP_MAP,ORA_SEED_SET2,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY_HIERARCHY,SOURCE_MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,TARGET_MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,HIERARCHY_TYPE,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_HIERARCHY,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_HIERARCHY,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,SEED_DATA_SOURCE,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,ORA_SEED_SET1,VARCHAR2
FND,FND_APPL_TAXONOMY_HIERARCHY,ORA_SEED_SET2,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,ANCESTOR_MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,CHILD_MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,DISTANCE,NUMBER
FND,FND_APPL_TAXONOMY_RF,IS_LEAF,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY_RF,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_RF,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_RF,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,SEED_DATA_SOURCE,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,ORA_SEED_SET1,VARCHAR2
FND,FND_APPL_TAXONOMY_RF,ORA_SEED_SET2,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY_TL,MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,LANGUAGE,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,SOURCE_LANG,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,USER_MODULE_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,DESCRIPTION,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_TL,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_TL,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,SEED_DATA_SOURCE,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,ORA_SEED_SET1,VARCHAR2
FND,FND_APPL_TAXONOMY_TL,ORA_SEED_SET2,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,MODULE_ID,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,PRODUCT_LINE,NUMBER
FND,FND_APPL_TAXONOMY_VL,MODULE_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,MODULE_TYPE,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,PILLAR_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,MODULE_KEY,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,PRODUCT_CODE,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,DESCRIPTION,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,ALTERNATIVE_ID,NUMBER
FND,FND_APPL_TAXONOMY_VL,USAGE_TYPE,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,IS_SEED_DATA_ALLOWED,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,ENTERPRISE_ID,NUMBER
FND,FND_APPL_TAXONOMY_VL,LAST_UPDATE_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_VL,LAST_UPDATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,CREATION_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_VL,CREATED_BY,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,LAST_UPDATE_LOGIN,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,USER_MODULE_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,WEBAPP_SHORT_NAME,VARCHAR2
FND,FND_APPL_TAXONOMY_VL,START_DATE,TIMESTAMP(6)
FND,FND_APPL_TAXONOMY_VL,END_DATE,TIMESTAMP(6)
FND,FND_APPROVALS_INGEST_ERROR,TASK_ID,VARCHAR2
FND,FND_APPROVALS_INGEST_ERROR,ERROR_CODE,VARCHAR2
FND,FND_APPROVALS_INGEST_ERROR,RETRIES,NUMBER
FND,FND_APPROVALS_INGEST_ERROR,INDEX_NAME,VARCHAR2
FND,FND_APPROVALS_INGEST_ERROR,ERROR_MESSAGE,CLOB
