MODULE_TAG,TABLE_NAME,COLUMN_NAME,DATA_TYPE
PRC,POI_ALLREQ_APPROVERS_V,APPROVER,VARCHAR2
PRC,POI_ALLREQ_APPROVERS_V,COMPOSITEINSTANCEID,CHAR
PRC,POI_ALLREQ_APPROVERS_V,REQUISITION_HEADER_ID,NUMBER
PRC,POI_ALLREQ_APPROVERS_V,DOCUMENT_STATUS,CHAR
PRC,POI_ALL_SPEND_DATA_V,SOURCE_TABLE,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,DATASOURCE_NUM_ID,NUMBER
PRC,POI_ALL_SPEND_DATA_V,TXN_ID,NUMBER
PRC,POI_ALL_SPEND_DATA_V,SOURCE_TXN_ID,NUMBER
PRC,POI_ALL_SPEND_DATA_V,SPEND_TXN_TYPE,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,TXN_NUM,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,LINE_NUM,NUMBER
PRC,POI_ALL_SPEND_DATA_V,TXN_DATE,TIMESTAMP(6)
PRC,POI_ALL_SPEND_DATA_V,TXN_DESC,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,LINE_DESC,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,ITEM_CODE,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,ITEM_DESCRIPTION,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,SUPPLIER_NAME,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,SUPPLIER_SITE,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,OPERATING_UNIT,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,UOM,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,LINE_QUANTITY,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CURRENCY,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,UNIT_PRICE,NUMBER
PRC,POI_ALL_SPEND_DATA_V,LINE_AMOUNT,NUMBER
PRC,POI_ALL_SPEND_DATA_V,COST_CENTER,VARCHAR2
PRC,POI_ALL_SPEND_DATA_V,EBS_CATEGORY_CODE,NUMBER
PRC,POI_ALL_SPEND_DATA_V,UNSPSC_CATEGORY_CODE,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_CATEGORY_CODE1,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_CATEGORY_CODE2,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_CATEGORY_CODE3,NUMBER
PRC,POI_ALL_SPEND_DATA_V,EBS_AUTO_CODE,NUMBER
PRC,POI_ALL_SPEND_DATA_V,UNSPSC_AUTO_CODE,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_AUTO_CODE1,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_AUTO_CODE2,NUMBER
PRC,POI_ALL_SPEND_DATA_V,CUSTOM_AUTO_CODE3,NUMBER
PRC,POI_ALL_SPEND_DATA_V,W_UPDATE_DT,TIMESTAMP(6)
